state,district,block,village,lgd_code
Madhya Pradesh,Barwani,Thikri,Abhali,478240
Madhya Pradesh,Barwani,Sendhwa,Achhali,478595
Madhya Pradesh,Barwani,Sendhwa,Adnadi,478699
Madhya Pradesh,Barwani,Rajpur,Agalgaon,478362
Madhya Pradesh,Barwani,Thikri,Ajandi,478221
Madhya Pradesh,Barwani,Sendhwa,Ajangaon,478603
Madhya Pradesh,Barwani,Barwani,Ajanyapani,478080
Madhya Pradesh,Barwani,Sendhwa,Ajgariya,934545
Madhya Pradesh,Barwani,Pansemal,Akal Amba,478471
Madhya Pradesh,Barwani,Pansemal,Alkhad,478436
Madhya Pradesh,Barwani,Pansemal,Alkhad Bada,478496
Madhya Pradesh,Barwani,Pansemal,Alkhard Chhota,478478
Madhya Pradesh,Barwani,Varla,Ambaautar,478691
Madhya Pradesh,Barwani,Pansemal,Amba Padaw,478466
Madhya Pradesh,Barwani,Barwani,Amba Pani,478081
Madhya Pradesh,Barwani,Pati,Ambi,478176
Madhya Pradesh,Barwani,Pansemal,Amda,478421
Madhya Pradesh,Barwani,Pansemal,Amjhiri,478407
Madhya Pradesh,Barwani,Sendhwa,Amjhiri,478641
Madhya Pradesh,Barwani,Barwani,Amlali,477985
Madhya Pradesh,Barwani,Pati,Amliya Pani,478191
Madhya Pradesh,Barwani,Barwani,Amliya Pani,478078
Madhya Pradesh,Barwani,Pansemal,Amliya Pani,478463
Madhya Pradesh,Barwani,Barwani,Amlyapani,478008
Madhya Pradesh,Barwani,Thikri,Anantpura,478246
Madhya Pradesh,Barwani,Anjad,Anjad Revenue Area,478255
Madhya Pradesh,Barwani,Pati,Anjarada,478096
Madhya Pradesh,Barwani,Pati,Atarsanbha,478129
Madhya Pradesh,Barwani,Rajpur,Atarsanbha,478337
Madhya Pradesh,Barwani,Barwani,Awalda,477988
Madhya Pradesh,Barwani,Anjad,Awali,478250
Madhya Pradesh,Barwani,Pati,Awali,478101
Madhya Pradesh,Barwani,Rajpur,Awalya,478380
Madhya Pradesh,Barwani,Barwani,Babultad,477989
Madhya Pradesh,Barwani,Pansemal,Babultad,478405
Madhya Pradesh,Barwani,Pati,Bada,478187
Madhya Pradesh,Barwani,Anjad,Badgaon,478292
Madhya Pradesh,Barwani,Niwali,Badgaon,478512
Madhya Pradesh,Barwani,Sendhwa,Badgaon,478586
Madhya Pradesh,Barwani,Barwani,Badgaon,478009
Madhya Pradesh,Barwani,Thikri,Badsalaya,478223
Madhya Pradesh,Barwani,Varla,Badya Pani,478659
Madhya Pradesh,Barwani,Rajpur,Baghad,478389
Madhya Pradesh,Barwani,Thikri,Baghadi,478195
Madhya Pradesh,Barwani,Barwani,Bagud,478016
Madhya Pradesh,Barwani,Pati,Baidi Falya,478162
Madhya Pradesh,Barwani,Rajpur,Bajad,478361
Madhya Pradesh,Barwani,Anjad,Bajaha,478288
Madhya Pradesh,Barwani,Barwani,Bajatta Buzurg,478027
Madhya Pradesh,Barwani,Barwani,Bajatta Khurd,478028
Madhya Pradesh,Barwani,Sendhwa,Bakee Urf Goi,478582
Madhya Pradesh,Barwani,Varla,Bakharli,478660
Madhya Pradesh,Barwani,Sendhwa,Bakhatariya,478594
Madhya Pradesh,Barwani,Rajpur,Bakwadi,478358
Madhya Pradesh,Barwani,Thikri,Balgaon,478218
Madhya Pradesh,Barwani,Pansemal,Baljhiri,478425
Madhya Pradesh,Barwani,Barwani,Balkhad,477997
Madhya Pradesh,Barwani,Sendhwa,Balkhad,478643
Madhya Pradesh,Barwani,Barwani,Balkunwa,478032
Madhya Pradesh,Barwani,Rajpur,Balsamund,478382
Madhya Pradesh,Barwani,Varla,Balwadi,478668
Madhya Pradesh,Barwani,Pati,Bamnali,478088
Madhya Pradesh,Barwani,Pansemal,Bandhara Buzurg,478427
Madhya Pradesh,Barwani,Pansemal,Bandhara Khurd,478444
Madhya Pradesh,Barwani,Pansemal,Bandiyasemal,478474
Madhya Pradesh,Barwani,Pansemal,Bandryabad,478398
Madhya Pradesh,Barwani,Pansemal,Banjardipardwa,478490
Madhya Pradesh,Barwani,Anjad,Banjari,478295
Madhya Pradesh,Barwani,Barwani,Barukhodra,478054
Madhya Pradesh,Barwani,Barwani,Barwani Khurd,478005
Madhya Pradesh,Barwani,Barwani,Barwani Revenue Area,478006
Madhya Pradesh,Barwani,Sendhwa,Bawadad,478604
Madhya Pradesh,Barwani,Anjad,Bawadya,478277
Madhya Pradesh,Barwani,Barwani,Bawangaja,478075
Madhya Pradesh,Barwani,Pansemal,Baygore,478397
Madhya Pradesh,Barwani,Barwani,Begalgaon,478038
Madhya Pradesh,Barwani,Pansemal,Behdiya,478404
Madhya Pradesh,Barwani,Varla,Belghat,478676
Madhya Pradesh,Barwani,Pati,Berada,478119
Madhya Pradesh,Barwani,Pati,Bhadal,478141
Madhya Pradesh,Barwani,Pansemal,Bhadbhada,478479
Madhya Pradesh,Barwani,Pansemal,Bhadgone,478410
Madhya Pradesh,Barwani,Pansemal,Bhagal Amba,478465
Madhya Pradesh,Barwani,Rajpur,Bhagsur,478298
Madhya Pradesh,Barwani,Pati,Bhaisari,478113
Madhya Pradesh,Barwani,Varla,Bhalabardi,478690
Madhya Pradesh,Barwani,Sendhwa,Bhamanya,478596
Madhya Pradesh,Barwani,Rajpur,Bhami,478297
Madhya Pradesh,Barwani,Anjad,Bhamori,478260
Madhya Pradesh,Barwani,Sendhwa,Bhampura,478652
Madhya Pradesh,Barwani,Barwani,Bhamta,477991
Madhya Pradesh,Barwani,Barwani,Bhandarda,478064
Madhya Pradesh,Barwani,Niwali,Bhangeedad,478528
Madhya Pradesh,Barwani,Pati,Bhanij Kundiya,478180
Madhya Pradesh,Barwani,Thikri,Bhatgawala,478214
Madhya Pradesh,Barwani,Pansemal,Bhatki,478400
Madhya Pradesh,Barwani,Sendhwa,Bhawargarh,478646
Madhya Pradesh,Barwani,Barwani,Bhawati,477986
Madhya Pradesh,Barwani,Niwali,Bhensdad,478548
Madhya Pradesh,Barwani,Pansemal,Bheshmal,478491
Madhya Pradesh,Barwani,Barwani,Bhilkheda,478000
Madhya Pradesh,Barwani,Rajpur,Bhilkheda,478318
Madhya Pradesh,Barwani,Niwali,Bhoolgaon,478532
Madhya Pradesh,Barwani,Niwali,Bhoorapani,478553
Madhya Pradesh,Barwani,Rajpur,Bhorwada,478379
Madhya Pradesh,Barwani,Rajpur,Bhulgaon,478372
Madhya Pradesh,Barwani,Barwani,Bhurakuwa,478073
Madhya Pradesh,Barwani,Sendhwa,Bijapur,478602
Madhya Pradesh,Barwani,Barwani,Bijasan,477984
