state,district,block,village,lgd_code
Karnataka,Bidar,Bhalki,Ahmadabad,599897
Karnataka,Bidar,Kamalnagar,Aknapur,599975
Karnataka,Bidar,Bidar,Alamkeri,600154
Karnataka,Bidar,Bhalki,Alandi,599871
Karnataka,Bidar,Basavakalyan,Algood,599792
Karnataka,Bidar,Bidar,Aliabad (Og),600256
Karnataka,Bidar,Bidar,Aliamber,600128
Karnataka,Bidar,Chitaguppa,Alipur Thanda,600333
Karnataka,Bidar,Bhalki,Allabad,599950
Karnataka,Bidar,Aurad,Allapur,600058
Karnataka,Bidar,Bidar,Allapur,600136
Karnataka,Bidar,Homnabad,Allura,600285
Karnataka,Bidar,Bidar,Almaspur,600176
Karnataka,Bidar,Aurad,Alur (B),600108
Karnataka,Bidar,Aurad,Alur(K),600109
Karnataka,Bidar,Bhalki,Alwai,599837
Karnataka,Bidar,Bidar,Ambalpad,600164
Karnataka,Bidar,Bhalki,Ambesangu,599891
Karnataka,Bidar,Homnabad,Ameerabad,600280
Karnataka,Bidar,Bidar,Amlapur,600186
Karnataka,Bidar,Bhalki,Anandwadi,599903
Karnataka,Bidar,Bidar,Andura,600196
Karnataka,Bidar,Aurad,Ashoknagar,600082
Karnataka,Bidar,Bidar,Ashtoor,600179
Karnataka,Bidar,Homnabad,Atiwal,600278
Karnataka,Bidar,Basavakalyan,Atlapur,599783
Karnataka,Bidar,Bhalki,Atnoor,599863
Karnataka,Bidar,Bhalki,Atterga,599840
Karnataka,Bidar,Basavakalyan,Attur,599812
Karnataka,Bidar,Bidar,Atwal,600195
Karnataka,Bidar,Aurad,Aurad (Rural),600056
Karnataka,Bidar,Bidar,Aurad (S),600221
Karnataka,Bidar,Bidar,Ayazpur,600205
Karnataka,Bidar,Aurad,Babli,600041
Karnataka,Bidar,Aurad,Bachepalli,600042
Karnataka,Bidar,Aurad,Badalgaon,600049
Karnataka,Bidar,Bhalki,Badjawalga,599919
Karnataka,Bidar,Bidar,Bagdal,600226
Karnataka,Bidar,Basavakalyan,Bagduri,599817
Karnataka,Bidar,Bidar,Bage-E-Gornalli,600184
Karnataka,Bidar,Bidar,Bagehamama,938354
Karnataka,Bidar,Bidar,Bageibrahima,938356
Karnataka,Bidar,Bidar,Bag - E - Karanja (Og),600255
Karnataka,Bidar,Bidar,Bage-Kharidi,938357
Karnataka,Bidar,Bidar,Bage-Shahi,600185
Karnataka,Bidar,Bidar,Bahirnahalli,600143
Karnataka,Bidar,Bidar,Bahirnalli,600227
Karnataka,Bidar,Bidar,Bakchawadi,600201
Karnataka,Bidar,Kamalnagar,Balad (K),600026
Karnataka,Bidar,Kamalnagar,Balad (K),600026
Karnataka,Bidar,Kamalnagar,Balat (B),600027
Karnataka,Bidar,Kamalnagar,Balat (B),600027
Karnataka,Bidar,Aurad,Ballur Janwada,600114
Karnataka,Bidar,Kamalnagar,Balur,600005
Karnataka,Bidar,Kamalnagar,Balur,600005
Karnataka,Bidar,Bhalki,Balur,599895
Karnataka,Bidar,Bidar,Bambalgi,600249
Karnataka,Bidar,Chitaguppa,Bannalli,600323
Karnataka,Bidar,Chitaguppa,Bannalli,600323
Karnataka,Bidar,Bidar,Bapur,600250
Karnataka,Bidar,Aurad,Bardapur,600084
Karnataka,Bidar,Bhalki,Bardapur,599939
Karnataka,Bidar,Bidar,Baridabad,600223
Karnataka,Bidar,Bidar,Barur,600240
Karnataka,Bidar,Bidar,Basanthpur,600150
Karnataka,Bidar,Basavakalyan,Basavakalyan ( R),599739
Karnataka,Bidar,Chitaguppa,Bashirapur,600329
Karnataka,Bidar,Chitaguppa,Bashirapur,600329
Karnataka,Bidar,Chitaguppa,Baskernagar,600314
Karnataka,Bidar,Chitaguppa,Baskernagar,600314
Karnataka,Bidar,Kamalnagar,Basnal,600010
Karnataka,Bidar,Kamalnagar,Basnal,600010
Karnataka,Bidar,Basavakalyan,Batgera,599808
Karnataka,Bidar,Bidar,Baugi,600211
Karnataka,Bidar,Aurad,Bawalgaon,599972
Karnataka,Bidar,Bidar,Bawalpur,600153
Karnataka,Bidar,Kamalnagar,Bedkunda,600023
Karnataka,Bidar,Kamalnagar,Bedkunda,600023
Karnataka,Bidar,Bhalki,Beeri,599881
Karnataka,Bidar,Bhalki,Beeri (K),599882
Karnataka,Bidar,Aurad,Beldhal,600083
Karnataka,Bidar,Chitaguppa,Belkera,600322
Karnataka,Bidar,Chitaguppa,Belkera,600322
Karnataka,Bidar,Kamalnagar,Belkuni Bhopalgad,599999
Karnataka,Bidar,Kamalnagar,Belkuni Bhopalgad,599999
Karnataka,Bidar,Aurad,Belkuni Chaudhri,600031
Karnataka,Bidar,Bidar,Bellura,600202
Karnataka,Bidar,Hulsoor,Belura,599731
Karnataka,Bidar,Aurad,Belur (Narayan-Khed),600105
Karnataka,Bidar,Chitaguppa,Bemalkheda,600337
Karnataka,Bidar,Chitaguppa,Bemalkheda,600337
Karnataka,Bidar,Chitaguppa,Bemalkheda,600337
Karnataka,Bidar,Kamalnagar,Bembra,600021
Karnataka,Bidar,Kamalnagar,Bembra,600021
Karnataka,Bidar,Bidar,Benakanalli,600145
Karnataka,Bidar,Homnabad,Benchincholi,600286
Karnataka,Bidar,Basavakalyan,Betbalkunda,599742
Karnataka,Bidar,Chitaguppa,Bhadrapur,600331
Karnataka,Bidar,Chitaguppa,Bhadrapur,600331
Karnataka,Bidar,Chitaguppa,Bhadrapur,600331
Karnataka,Bidar,Basavakalyan,Bhaknal,599802
Karnataka,Bidar,Bhalki,Bhalki (R),599912
Karnataka,Bidar,Aurad,Bhandar Kumta,599984
Karnataka,Bidar,Bidar,Bhangoor,600253
Karnataka,Bidar,Bhalki,Bhatambra,599876
Karnataka,Bidar,Bhalki,Bhatsangvi,599867
Karnataka,Bidar,Kamalnagar,Bhavani Bijalgaon,600000
Karnataka,Bidar,Kamalnagar,Bhavani Bijalgaon,600000
Karnataka,Bidar,Basavakalyan,Bhosga,599799
Karnataka,Bidar,Bhalki,Bolegaon,599843
Karnataka,Bidar,Bidar,Bompalli,600124
Karnataka,Bidar,Aurad,Bonthi,599982
Karnataka,Bidar,Chitaguppa,Boral,600334
Karnataka,Bidar,Chitaguppa,Boral,600334
Karnataka,Bidar,Aurad,Boral,600063
Karnataka,Bidar,Homnabad,Borampalli,600304
Karnataka,Bidar,Aurad,Borgi (Janwada),600101
Karnataka,Bidar,Homnabad,Bothagi,600284
Karnataka,Bidar,Bidar,Brahmapura,938358
Karnataka,Bidar,Bidar,Budhera,600232
Karnataka,Bidar,Bhalki,Byalhalli,599966
Karnataka,Bidar,Bhalki,Bylhalli,599931
Karnataka,Bidar,Bhalki,Chalkapur,599945
Karnataka,Bidar,Bidar,Chambool,600132
Karnataka,Bidar,Basavakalyan,Chandakpur,599785
Karnataka,Bidar,Homnabad,Chandanahalli,600266
Karnataka,Bidar,Bhalki,Chandapur,599896
Karnataka,Bidar,Kamalnagar,Chandeshwar,600007
Karnataka,Bidar,Kamalnagar,Chandeshwar,600007
Karnataka,Bidar,Kamalnagar,Chandoori,600024
Karnataka,Bidar,Kamalnagar,Chandoori,600024
Karnataka,Bidar,Chitaguppa,Changlera,600340
Karnataka,Bidar,Aurad,Chatnal,600095
Karnataka,Bidar,Bidar,Chatnalli,600224
Karnataka,Bidar,Bidar,Chaver Fathepur,600146
Karnataka,Bidar,Basavakalyan,Chicknagaon,599823
Karnataka,Bidar,Bidar,Chidri,938359
Karnataka,Bidar,Bhalki,Chikalchanda,599923
Karnataka,Bidar,Aurad,Chikli Janwada,600094
Karnataka,Bidar,Kamalnagar,Chikli Udgir,599969
Karnataka,Bidar,Kamalnagar,Chikli Udgir,599969
Karnataka,Bidar,Basavakalyan,Chikotta(B),599807
Karnataka,Bidar,Bidar,Chikpet,600155
Karnataka,Bidar,Bidar,Chillargi,600149
Karnataka,Bidar,Kamalnagar,Chimegaon,599985
Karnataka,Bidar,Bidar,Chimkod,600148
Karnataka,Bidar,Homnabad,Chinkera,600272
Karnataka,Bidar,Aurad,Chintaki,600081
Karnataka,Bidar,Bidar,Chintalgera,600241
Karnataka,Bidar,Chitaguppa,Chitguppa (Rural),600307
Karnataka,Bidar,Chitaguppa,Chitguppa (Rural),600307
Karnataka,Bidar,Homnabad,Chitkota,600303
Karnataka,Bidar,Basavakalyan,Chitkota (K),599810
Karnataka,Bidar,Bhalki,Chitta,599944
Karnataka,Bidar,Bidar,Chitta,600187
Karnataka,Bidar,Basavakalyan,Chittakaldev,599788
Karnataka,Bidar,Bidar,Chondi,600192
Karnataka,Bidar,Bidar,Chouli,600193
Karnataka,Bidar,Kamalnagar,Dabka(Chawar),599978
Karnataka,Bidar,Kamalnagar,Dabka(Chawar),599978
Karnataka,Bidar,Bidar,Daddapur,600142
Karnataka,Bidar,Bhalki,Dadgi,599918
Karnataka,Bidar,Homnabad,Dakulgi,600279
Karnataka,Bidar,Aurad,Dangargaon,599993
Karnataka,Bidar,Kamalnagar,Dareganva,599989
