state,district,block,village,lgd_code
Madhya Pradesh,Dhar,Pithampur,Aabu Ghati,475103
Madhya Pradesh,Dhar,Pithampur,Aabu Khedi,475019
Madhya Pradesh,Dhar,Pithampur,Aali,475034
Madhya Pradesh,Dhar,Pithampur,Aambapura,475156
Madhya Pradesh,Dhar,Pithampur,Aam Kho,475109
Madhya Pradesh,Dhar,Kukshi,Aamlabawadi,475510
Madhya Pradesh,Dhar,Dharampuri,Abdulpur,475805
Madhya Pradesh,Dhar,Pithampur,Achana,474992
Madhya Pradesh,Dhar,Gandhwani,Acharkunda,475263
Madhya Pradesh,Dhar,Manawar,Achoda,475660
Madhya Pradesh,Dhar,Manawar,Adabayda,475745
Madhya Pradesh,Dhar,Pithampur,Adabaydapura,475155
Madhya Pradesh,Dhar,Dhar,Adbeli,475071
Madhya Pradesh,Dhar,Pithampur,Adhseriyapura,475154
Madhya Pradesh,Dhar,Dhar,Advi,474948
Madhya Pradesh,Dhar,Kukshi,Agar,475404
Madhya Pradesh,Dhar,Pithampur,Agrakhedi,948865
Madhya Pradesh,Dhar,Manawar,Aharwas,475781
Madhya Pradesh,Dhar,Dhar,Ahirkhedi,474981
Madhya Pradesh,Dhar,Sardarpur,Ahmad,474620
Madhya Pradesh,Dhar,Manawar,Ahmadpur,475683
Madhya Pradesh,Dhar,Dharampuri,Ahmadpura,475816
Madhya Pradesh,Dhar,Dhar,Ahu,474746
Madhya Pradesh,Dhar,Manawar,Ajanda,475693
Madhya Pradesh,Dhar,Manawar,Ajandikot,475649
Madhya Pradesh,Dhar,Manawar,Ajandiman,475674
Madhya Pradesh,Dhar,Badnawar,Ajanya Khedi,474442
Madhya Pradesh,Dhar,Kukshi,Ajanya Malhar,475424
Madhya Pradesh,Dhar,Dahi,Ajgaon,475582
Madhya Pradesh,Dhar,Kukshi,Akhada,475388
Madhya Pradesh,Dhar,Dhar,Akoda,474739
Madhya Pradesh,Dhar,Dhar,Akoliya,474790
Madhya Pradesh,Dhar,Pithampur,Akolya,948869
Madhya Pradesh,Dhar,Sardarpur,Akolya,474574
Madhya Pradesh,Dhar,Kukshi,Ali,475459
Madhya Pradesh,Dhar,Kukshi,Aloda,475487
Madhya Pradesh,Dhar,Manawar,Amadad,475750
Madhya Pradesh,Dhar,Sardarpur,Amaliya,474672
Madhya Pradesh,Dhar,Kukshi,Amaljhuma,475475
Madhya Pradesh,Dhar,Sardarpur,Amba,474633
Madhya Pradesh,Dhar,Manawar,Ambada,475611
Madhya Pradesh,Dhar,Kukshi,Ambada,475486
Madhya Pradesh,Dhar,Gandhwani,Ambajhiri,475214
Madhya Pradesh,Dhar,Dhar,Ambakundia,474868
Madhya Pradesh,Dhar,Sardarpur,Ambamal,474680
Madhya Pradesh,Dhar,Sardarpur,Ambapada,474666
Madhya Pradesh,Dhar,Dhar,Ambapatdi,474853
Madhya Pradesh,Dhar,Dhar,Ambapura,474863
Madhya Pradesh,Dhar,Pithampur,Ambapura,475105
Madhya Pradesh,Dhar,Dhar,Ambapura,475067
Madhya Pradesh,Dhar,Kukshi,Ambasoti,475344
Madhya Pradesh,Dhar,Sardarpur,Ambedi,474652
Madhya Pradesh,Dhar,Gandhwani,Amghata,475239
Madhya Pradesh,Dhar,Sardarpur,Amjhar,474650
Madhya Pradesh,Dhar,Sardarpur,Amjhera,474724
Madhya Pradesh,Dhar,Dhar,Amkheda,474839
Madhya Pradesh,Dhar,Dhar,Amla,474881
Madhya Pradesh,Dhar,Dahi,Amlal,475584
Madhya Pradesh,Dhar,Manawar,Amlatha,475711
Madhya Pradesh,Dhar,Dhar,Amlyabheru,474856
Madhya Pradesh,Dhar,Sardarpur,Amodiya,474735
Madhya Pradesh,Dhar,Badnawar,Amodiya,474500
Madhya Pradesh,Dhar,Manawar,Amsi,475740
Madhya Pradesh,Dhar,Sardarpur,Anandkhedi,474555
Madhya Pradesh,Dhar,Dhar,Anarad,474764
Madhya Pradesh,Dhar,Dhar,Andibeda,474872
Madhya Pradesh,Dhar,Manawar,Andiyab,475595
Madhya Pradesh,Dhar,Kukshi,Anjan Khedi,475425
Madhya Pradesh,Dhar,Sardarpur,Anjan Mal,474686
Madhya Pradesh,Dhar,Gandhwani,Anjantad,475302
Madhya Pradesh,Dhar,Manawar,Anjanya,475637
Madhya Pradesh,Dhar,Dhar,Anjnai,474913
Madhya Pradesh,Dhar,Sardarpur,Antedi,474731
Madhya Pradesh,Dhar,Dhar,Antrai,474794
Madhya Pradesh,Dhar,Dharampuri,Anupura Bahadar,475804
Madhya Pradesh,Dhar,Pithampur,Anwalipura,475134
Madhya Pradesh,Dhar,Pithampur,Anwaliya,475132
Madhya Pradesh,Dhar,Dahi,Arada,475543
Madhya Pradesh,Dhar,Kukshi,Aspur,475440
Madhya Pradesh,Dhar,Pithampur,Asukhedi,474997
Madhya Pradesh,Dhar,Gandhwani,Atarsuma,475279
Madhya Pradesh,Dhar,Dahi,Atarsuma,475556
Madhya Pradesh,Dhar,Dhar,Athar,947319
Madhya Pradesh,Dhar,Manawar,Avral,475596
Madhya Pradesh,Dhar,Gandhwani,Awaldaman,475286
Madhya Pradesh,Dhar,Kukshi,Awali,475451
Madhya Pradesh,Dhar,Dahi,Babali Bujurg,475550
Madhya Pradesh,Dhar,Dahi,Babali Khurd,475560
Madhya Pradesh,Dhar,Badnawar,Babarda,474536
Madhya Pradesh,Dhar,Kukshi,Babulgaon,475527
Madhya Pradesh,Dhar,Kukshi,Babulsha,475480
Madhya Pradesh,Dhar,Pithampur,Bachhadawada,475014
Madhya Pradesh,Dhar,Pithampur,Bachhanpur,475022
Madhya Pradesh,Dhar,Pithampur,Bada Barkheda,475048
Madhya Pradesh,Dhar,Dhar,Badakalan,474923
Madhya Pradesh,Dhar,Sardarpur,Badbeli,474697
Madhya Pradesh,Dhar,Dhar,Badchhapra,474978
Madhya Pradesh,Dhar,Manawar,Badgaon,475677
Madhya Pradesh,Dhar,Kukshi,Badgaon,475524
Madhya Pradesh,Dhar,Manawar,Badgaon,475687
Madhya Pradesh,Dhar,Kukshi,Badgaon,475493
Madhya Pradesh,Dhar,Kukshi,Badgyar,475436
Madhya Pradesh,Dhar,Gandhwani,Badipura,475240
Madhya Pradesh,Dhar,Gandhwani,Badiya,475281
Madhya Pradesh,Dhar,Manawar,Badiya,475746
Madhya Pradesh,Dhar,Pithampur,Badiya,475098
Madhya Pradesh,Dhar,Kukshi,Badkachha,475358
Madhya Pradesh,Dhar,Gandhwani,Badkhodra,475324
Madhya Pradesh,Dhar,Dhar,Badlipura Kalan,474886
Madhya Pradesh,Dhar,Dhar,Badlipura Khurd,474885
Madhya Pradesh,Dhar,Badnawar,Badnawar,951445
Madhya Pradesh,Dhar,Sardarpur,Badodiya,474711
Madhya Pradesh,Dhar,Dhar,Badodiya,474791
Madhya Pradesh,Dhar,Dhar,Badpipli,474829
Madhya Pradesh,Dhar,Badnawar,Badwai,474493
Madhya Pradesh,Dhar,Dahi,Badwanya,475553
Madhya Pradesh,Dhar,Pithampur,Bagadi,475032
Madhya Pradesh,Dhar,Manawar,Bagadi,475793
Madhya Pradesh,Dhar,Kukshi,Bagdi,475509
Madhya Pradesh,Dhar,Dharampuri,Bagdialias Sagdi,475881
Madhya Pradesh,Dhar,Dharampuri,Bagdipura,475885
Madhya Pradesh,Dhar,Dhar,Bagditaj,474799
Madhya Pradesh,Dhar,Dhar,Bagditurk,474825
Madhya Pradesh,Dhar,Dhar,Bagdiya,474832
Madhya Pradesh,Dhar,Pithampur,Bagdun,948864
Madhya Pradesh,Dhar,Dhar,Baggad,474972
Madhya Pradesh,Dhar,Kukshi,Bagh (Ct),475533
Madhya Pradesh,Dhar,Manawar,Bagliya,475670
Madhya Pradesh,Dhar,Pithampur,Bagoda,474988
Madhya Pradesh,Dhar,Kukshi,Bagoli,475373
Madhya Pradesh,Dhar,Sardarpur,Bagpipliya,474688
Madhya Pradesh,Dhar,Kukshi,Bagpura,475412
Madhya Pradesh,Dhar,Manawar,Bagsul,475617
Madhya Pradesh,Dhar,Dharampuri,Bagwanya,475814
Madhya Pradesh,Dhar,Manawar,Bajattakhurd,475702
Madhya Pradesh,Dhar,Pithampur,Bakankheda,475122
Madhya Pradesh,Dhar,Gandhwani,Bakhatala,475300
Madhya Pradesh,Dhar,Badnawar,Bakhatgarh,474438
Madhya Pradesh,Dhar,Badnawar,Bakhatpura,474416
Madhya Pradesh,Dhar,Dhar,Baklikalan,474879
Madhya Pradesh,Dhar,Dhar,Bakli Khurd,474880
Madhya Pradesh,Dhar,Pithampur,Baksana,474989
Madhya Pradesh,Dhar,Dhar,Baldipura,474864
Madhya Pradesh,Dhar,Gandhwani,Baledi,475194
Madhya Pradesh,Dhar,Manawar,Balipur,475788
Madhya Pradesh,Dhar,Manawar,Balipur,475624
Madhya Pradesh,Dhar,Manawar,Balipur Bujurg,475782
Madhya Pradesh,Dhar,Gandhwani,Balnera,475304
Madhya Pradesh,Dhar,Badnawar,Baloda,474396
Madhya Pradesh,Dhar,Sardarpur,Baloda,474615
Madhya Pradesh,Dhar,Dhar,Baloda Buzurg,474786
Madhya Pradesh,Dhar,Dhar,Baloda Khurd,474738
Madhya Pradesh,Dhar,Dharampuri,Balwada,475898
Madhya Pradesh,Dhar,Dahi,Balwani,475536
Madhya Pradesh,Dhar,Dharampuri,Balwari,475844
Madhya Pradesh,Dhar,Gandhwani,Balwari Kalan,475266
Madhya Pradesh,Dhar,Gandhwani,Balwari Khurd,475269
Madhya Pradesh,Dhar,Badnawar,Bamakhedi,474457
Madhya Pradesh,Dhar,Kukshi,Bamanbardi,475448
Madhya Pradesh,Dhar,Badnawar,Bamanda Kalan,474489
Madhya Pradesh,Dhar,Badnawar,Bamanda Khurd,474490
Madhya Pradesh,Dhar,Sardarpur,Bamankhedi,474601
Madhya Pradesh,Dhar,Badnawar,Bamansuta,474394
Madhya Pradesh,Dhar,Badnawar,Bamanya Rundi,474432
Madhya Pradesh,Dhar,Manawar,Bamkaner,475706
Madhya Pradesh,Dhar,Kukshi,Banada,475382
Madhya Pradesh,Dhar,Sardarpur,Bandedi,474728
Madhya Pradesh,Dhar,Kukshi,Bandhaniya,475411
Madhya Pradesh,Dhar,Dhar,Bandhaw,475078
Madhya Pradesh,Dhar,Pithampur,Bandhawa,475108
Madhya Pradesh,Dhar,Dhar,Banediya,474965
Madhya Pradesh,Dhar,Manawar,Banediya,475631
Madhya Pradesh,Dhar,Pithampur,Bangla,475023
Madhya Pradesh,Dhar,Pithampur,Bangred,475041
Madhya Pradesh,Dhar,Sardarpur,Bani,474586
Madhya Pradesh,Dhar,Dharampuri,Banjarapura,930613
Madhya Pradesh,Dhar,Manawar,Banjari,475786
Madhya Pradesh,Dhar,Pithampur,Banjari,475056
