state,district,block,village,lgd_code
Maharashtra,Dhule,Sakri(Sub-District),Aagarpada,945413
Maharashtra,Dhule,Sakri(Sub-District),Aamode,526360
Maharashtra,Dhule,Shirpur(Sub-District),Abhanpur Kh.,526022
Maharashtra,Dhule,Dhule(Sub-District),Achade,526541
Maharashtra,Dhule,Sindkhede(Sub-District),Achhi,526140
Maharashtra,Dhule,Shirpur(Sub-District),Adhe,526069
Maharashtra,Dhule,Sakri(Sub-District),Aechale,526297
Maharashtra,Dhule,Shirpur(Sub-District),Ahilyapur,526072
Maharashtra,Dhule,Sakri(Sub-District),Aine,526313
Maharashtra,Dhule,Shirpur(Sub-District),Ajanad,526084
Maharashtra,Dhule,Sindkhede(Sub-District),Ajande Bk,526202
Maharashtra,Dhule,Shirpur(Sub-District),Ajande Bk,526089
Maharashtra,Dhule,Sindkhede(Sub-District),Ajande Kh,526174
Maharashtra,Dhule,Shirpur(Sub-District),Ajande Kh.,526053
Maharashtra,Dhule,Dhule(Sub-District),Ajang,526531
Maharashtra,Dhule,Shirpur(Sub-District),Ajnad Bangla,947339
Maharashtra,Dhule,Dhule(Sub-District),Ajnale,526588
Maharashtra,Dhule,Sakri(Sub-District),Akhade,526280
Maharashtra,Dhule,Sindkhede(Sub-District),Akkadse,526112
Maharashtra,Dhule,Sindkhede(Sub-District),Akkalkos,526151
Maharashtra,Dhule,Sakri(Sub-District),Akkalpada,526331
Maharashtra,Dhule,Dhule(Sub-District),Aklad,526575
Maharashtra,Dhule,Sindkhede(Sub-District),Alane,526205
Maharashtra,Dhule,Sindkhede(Sub-District),Amalathe,526141
Maharashtra,Dhule,Sakri(Sub-District),Amali,526335
Maharashtra,Dhule,Sindkhede(Sub-District),Amarale,526232
Maharashtra,Dhule,Sakri(Sub-District),Ambapur,526319
Maharashtra,Dhule,Shirpur(Sub-District),Ambe,526002
Maharashtra,Dhule,Dhule(Sub-District),Ambode,526527
Maharashtra,Dhule,Dhule(Sub-District),Amdad,526533
Maharashtra,Dhule,Sakri(Sub-District),Amkhel,526256
Maharashtra,Dhule,Sakri(Sub-District),Amode,526306
Maharashtra,Dhule,Shirpur(Sub-District),Amode,526054
Maharashtra,Dhule,Dhule(Sub-District),Anakwadi,526598
Maharashtra,Dhule,Dhule(Sub-District),Anchade Tanda,526540
Maharashtra,Dhule,Shirpur(Sub-District),Anjanpada,525999
Maharashtra,Dhule,Sindkhede(Sub-District),Anjanvihire,526129
Maharashtra,Dhule,Shirpur(Sub-District),Anturli,526035
Maharashtra,Dhule,Sindkhede(Sub-District),Arave,526225
Maharashtra,Dhule,Dhule(Sub-District),Arni,526516
Maharashtra,Dhule,Shirpur(Sub-District),Arthe Bk.,526038
Maharashtra,Dhule,Shirpur(Sub-District),Arthe Kh.,526039
Maharashtra,Dhule,Dhule(Sub-District),Arvi,526600
Maharashtra,Dhule,Shirpur(Sub-District),Asali,526071
Maharashtra,Dhule,Sakri(Sub-District),Ashtane,526316
Maharashtra,Dhule,Dhule(Sub-District),Awadhan,526632
Maharashtra,Dhule,Shirpur(Sub-District),Babhalaj,526083
Maharashtra,Dhule,Sindkhede(Sub-District),Babhalde,526192
Maharashtra,Dhule,Sindkhede(Sub-District),Babhale,526208
Maharashtra,Dhule,Sakri(Sub-District),Babhulade,526274
Maharashtra,Dhule,Shirpur(Sub-District),Babhulde,526065
Maharashtra,Dhule,Dhule(Sub-District),Babhulwadi,526523
Maharashtra,Dhule,Dhule(Sub-District),Babre,526614
Maharashtra,Dhule,Sakri(Sub-District),Bagulnagar,526372
Maharashtra,Dhule,Shirpur(Sub-District),Balade,526057
Maharashtra,Dhule,Dhule(Sub-District),Balapur,526518
Maharashtra,Dhule,Dhule(Sub-District),Balhane,526590
Maharashtra,Dhule,Sakri(Sub-District),Balhane,526431
Maharashtra,Dhule,Shirpur(Sub-District),Balkuwe,525979
Maharashtra,Dhule,Sakri(Sub-District),Balsane,526300
Maharashtra,Dhule,Dhule(Sub-District),Bamburle.Pr.Ner.,526469
Maharashtra,Dhule,Sindkhede(Sub-District),Bamhane,526119
Maharashtra,Dhule,Sakri(Sub-District),Baripada,945412
Maharashtra,Dhule,Sakri(Sub-District),Basar,526257
Maharashtra,Dhule,Sakri(Sub-District),Basarawal,526385
Maharashtra,Dhule,Dhule(Sub-District),Behed,526466
Maharashtra,Dhule,Sakri(Sub-District),Behed,526453
Maharashtra,Dhule,Dhule(Sub-District),Bendrepada,526607
Maharashtra,Dhule,Sindkhede(Sub-District),Betawad,526201
Maharashtra,Dhule,Sindkhede(Sub-District),Bhadane,526159
Maharashtra,Dhule,Dhule(Sub-District),Bhadane,526570
Maharashtra,Dhule,Sakri(Sub-District),Bhadane,526323
