state,district,block,village,lgd_code
Karnataka,Raichur,Lingasugur,Adapur,600374
Karnataka,Raichur,Lingasugur,Adavibhavi,600423
Karnataka,Raichur,Arakera,Adkalgud,600702
Karnataka,Raichur,Maski,Advibhavi(Maski),600516
Karnataka,Raichur,Lingasugur,Advibhavi (Mudgal),600365
Karnataka,Raichur,Manvi,Advi Khanapur,601001
Karnataka,Raichur,Raichur,Agapur (D),600788
Karnataka,Raichur,Arakera,Agrahar,600715
Karnataka,Raichur,Raichur,Agrahar,600757
Karnataka,Raichur,Lingasugur,Aidanhal,600419
Karnataka,Raichur,Lingasugur,Aidbhavi,600453
Karnataka,Raichur,Arakera,Akalkumpi,600704
Karnataka,Raichur,Sindhnur,Alabanoor,601186
Karnataka,Raichur,Manvi,Aldhal,600966
Karnataka,Raichur,Arakera,Aldharti,600660
Karnataka,Raichur,Arakera,Alkod,600706
Karnataka,Raichur,Raichur,Alkur,600848
Karnataka,Raichur,Sindhnur,Amarapur,601202
Karnataka,Raichur,Sindhnur,Amarapur Khadehola - (D),601153
Karnataka,Raichur,Lingasugur,Amarawati,600438
Karnataka,Raichur,Manvi,Amarawati,601048
Karnataka,Raichur,Lingasugur,Amdihal,600371
Karnataka,Raichur,Maski,Ameengad,600890
Karnataka,Raichur,Devadurga,Amrapur,600655
Karnataka,Raichur,Devadurga,Amrapur,600559
Karnataka,Raichur,Lingasugur,Anahosur,600413
Karnataka,Raichur,Maski,Anandgal,600893
Karnataka,Raichur,Devadurga,Anchesugur,600586
Karnataka,Raichur,Arakera,Andankhed,600663
Karnataka,Raichur,Devadurga,Anjal,600611
Karnataka,Raichur,Lingasugur,Ankanhal,600345
Karnataka,Raichur,Maski,Ankusadoddi,600500
Karnataka,Raichur,Maski,Antargangi (Big),600522
Karnataka,Raichur,Maski,Antargangi (Small),600524
Karnataka,Raichur,Raichur,Anwar,600833
Karnataka,Raichur,Arakera,Anwar,600703
Karnataka,Raichur,Lingasugur,Anwari,600481
Karnataka,Raichur,Raichur,Appandoddi,600764
Karnataka,Raichur,Devadurga,Apprahal,600641
Karnataka,Raichur,Arakera,Arkera,600697
Karnataka,Raichur,Raichur,Arlappanahuda,600811
Karnataka,Raichur,Raichur,Arlibenchi,600826
Karnataka,Raichur,Sindhnur,Arlihalli,601094
Karnataka,Raichur,Sindhnur,Arlihalli(Simth Mukunda),601228
Karnataka,Raichur,Manvi,Arnalli,601012
Karnataka,Raichur,Manvi,Aroli,601000
Karnataka,Raichur,Raichur,Arshanagi,600724
Karnataka,Raichur,Devadurga,Arshangi,600605
Karnataka,Raichur,Raichur,Arsigera,600774
Karnataka,Raichur,Lingasugur,Arya-Bhogapur,600380
Karnataka,Raichur,Raichur,Asapur,600825
Karnataka,Raichur,Lingasugur,Ashihal,600364
Karnataka,Raichur,Raichur,Askihal,600783
Karnataka,Raichur,Raichur,Athkur,600761
Karnataka,Raichur,Sirwar,Atnur,600969
Karnataka,Raichur,Raichur,Ayazpur,600801
Karnataka,Raichur,Sindhnur,Ayyanur,601171
Karnataka,Raichur,Sindhnur,Badarli,601188
