requested_state,requested_district,matched_state,matched_district,matched_key_normalized,status,confidence_level,source_row_count,source_village_count,has_tower_enrichment,has_opencellid_file,opencellid_file_size_bytes,output_dir,opencellid_data_as_of,opencellid_recency_basis,ookla_data_as_of,ookla_recency_basis,data_as_of
Andhra Pradesh,Alluri Sitarama Raju,Andhra Pradesh,Alluri Sitarama Raju,andhra pradesh | alluri sitarama raju,completed_tower_enriched,high,2329,86,True,True,785,E:\Resources\SecondBrain\koraput_connectivity_pipeline\outputs\requested_districts\andhra_pradesh__alluri_sitarama_raju,2026-07-11T16:03:14.513350Z,district_file_mtime,2026-07-11T16:07:33.401562Z,state_cache_mtime,2026-07-11T16:03:14.513350Z
Andhra Pradesh,Parvathipuram Manyam,Andhra Pradesh,Parvathipuram Manyam,andhra pradesh | parvathipuram manyam,completed_tower_enriched,high,729,51,True,True,5334,E:\Resources\SecondBrain\koraput_connectivity_pipeline\outputs\requested_districts\andhra_pradesh__parvathipuram_manyam,2026-07-12T03:11:24.390715Z,district_file_mtime,2026-07-11T16:07:33.401562Z,state_cache_mtime,2026-07-12T03:11:24.390715Z
Jharkhand,Dumka,Jharkhand,Dumka,jharkhand | dumka,completed_tower_enriched,high,1772,81,True,True,2076,E:\Resources\SecondBrain\koraput_connectivity_pipeline\outputs\requested_districts\jharkhand__dumka,2026-07-12T03:17:19.060834Z,district_file_mtime,2026-07-11T16:07:35.997203Z,state_cache_mtime,2026-07-12T03:17:19.060834Z
Jharkhand,Pakur,Jharkhand,Pakur,jharkhand | pakur,completed_tower_enriched,high,2068,76,True,True,267,E:\Resources\SecondBrain\koraput_connectivity_pipeline\outputs\requested_districts\jharkhand__pakur,2026-07-12T03:21:17.024892Z,district_file_mtime,2026-07-11T16:07:35.997203Z,state_cache_mtime,2026-07-12T03:21:17.024892Z
Jharkhand,Sahibganj,Jharkhand,Sahibganj,jharkhand | sahibganj,completed_tower_enriched,high,1866,92,True,True,45372,E:\Resources\SecondBrain\koraput_connectivity_pipeline\outputs\requested_districts\jharkhand__sahibganj,2026-07-13T10:14:26.774193Z,district_file_mtime,2026-07-11T16:07:35.997203Z,state_cache_mtime,2026-07-13T10:14:26.774193Z
Odisha,Koraput,Odisha,Koraput,odisha | koraput,completed_tower_enriched,high,857,42,True,True,4476,E:\Resources\SecondBrain\koraput_connectivity_pipeline\outputs\requested_districts\odisha__koraput,2026-06-24T18:41:21.920099Z,district_file_mtime,2026-07-11T16:07:37.382486Z,state_cache_mtime,2026-06-24T18:41:21.920099Z
Odisha,Malkangiri,Odisha,Malkangiri,odisha | malkangiri,completed_tower_enriched,high,668,84,True,True,45372,E:\Resources\SecondBrain\koraput_connectivity_pipeline\outputs\requested_districts\odisha__malkangiri,2026-07-13T09:05:56.589112Z,district_file_mtime,2026-07-11T16:07:37.382486Z,state_cache_mtime,2026-07-13T09:05:56.589112Z
Odisha,Nabarangapur,Odisha,Nabarangapur,odisha | nabarangapur,completed_tower_enriched,high,315,40,True,True,45372,E:\Resources\SecondBrain\koraput_connectivity_pipeline\outputs\requested_districts\odisha__nabarangapur,2026-07-13T12:52:22.307870Z,updated_column_or_mtime,2026-07-11T16:07:37.382486Z,file_mtime,2026-07-11T16:07:37.382486Z
Gujarat,The Dangs,Gujarat,The Dangs,gujarat | the dangs,fallback_no_tower_evidence,low,0,0,False,True,205,E:\Resources\SecondBrain\koraput_connectivity_pipeline\outputs\requested_districts\gujarat__the_dangs,2026-07-13T12:52:22.307870Z,updated_column_or_mtime,2026-06-24T18:14:28.211520Z,file_mtime,2026-06-24T18:14:28.211520Z
Karnataka,Bidar,Karnataka,Bidar,karnataka | bidar,fallback_no_tower_evidence,low,0,0,False,True,111,E:\Resources\SecondBrain\koraput_connectivity_pipeline\outputs\requested_districts\karnataka__bidar,2026-07-14T17:09:07.247444Z,updated_column_or_mtime,2026-06-24T18:14:28.211520Z,file_mtime,2026-06-24T18:14:28.211520Z
Karnataka,Raichur,Karnataka,Raichur,karnataka | raichur,fallback_no_tower_evidence,low,0,0,False,True,103,E:\Resources\SecondBrain\koraput_connectivity_pipeline\outputs\requested_districts\karnataka__raichur,2026-07-13T12:52:22.307870Z,updated_column_or_mtime,2026-06-24T18:14:28.211520Z,file_mtime,2026-06-24T18:14:28.211520Z
Madhya Pradesh,Barwani,Madhya Pradesh,Barwani,madhya pradesh | barwani,fallback_no_tower_evidence,low,0,0,False,True,111,E:\Resources\SecondBrain\koraput_connectivity_pipeline\outputs\requested_districts\madhya_pradesh__barwani,2026-07-14T05:55:39.453777Z,updated_column_or_mtime,2026-06-24T18:14:28.211520Z,file_mtime,2026-06-24T18:14:28.211520Z
Madhya Pradesh,Dhar,Madhya Pradesh,Dhar,madhya pradesh | dhar,fallback_no_tower_evidence,low,0,0,False,True,103,E:\Resources\SecondBrain\koraput_connectivity_pipeline\outputs\requested_districts\madhya_pradesh__dhar,2026-07-13T05:16:37.995343Z,district_file_mtime,2026-07-13T04:59:37.232626Z,state_cache_mtime,2026-07-13T05:16:37.995343Z
Maharashtra,Nandurbar,Maharashtra,Nandurbar,maharashtra | nandurbar,fallback_no_tower_evidence,low,0,0,False,True,103,E:\Resources\SecondBrain\koraput_connectivity_pipeline\outputs\requested_districts\maharashtra__nandurbar,2026-07-13T05:20:18.444278Z,district_file_mtime,2026-07-12T03:23:52.360737Z,state_cache_mtime,2026-07-13T05:20:18.444278Z
Maharashtra,Nashik,Maharashtra,Nashik,maharashtra | nashik,fallback_no_tower_evidence,low,0,0,False,True,103,E:\Resources\SecondBrain\koraput_connectivity_pipeline\outputs\requested_districts\maharashtra__nashik,2026-07-13T05:21:50.276221Z,district_file_mtime,2026-07-12T03:23:52.360737Z,state_cache_mtime,2026-07-13T05:21:50.276221Z
Rajasthan,Banswara,Rajasthan,Banswara,rajasthan | banswara,fallback_no_tower_evidence,low,0,0,False,True,103,E:\Resources\SecondBrain\koraput_connectivity_pipeline\outputs\requested_districts\rajasthan__banswara,2026-07-13T05:23:26.707174Z,district_file_mtime,2026-07-13T05:22:41.033865Z,state_cache_mtime,2026-07-13T05:23:26.707174Z
Rajasthan,Dungarpur,Rajasthan,Dungarpur,rajasthan | dungarpur,fallback_no_tower_evidence,low,0,0,False,True,103,E:\Resources\SecondBrain\koraput_connectivity_pipeline\outputs\requested_districts\rajasthan__dungarpur,2026-07-13T05:24:53.855244Z,district_file_mtime,2026-07-13T05:22:41.033865Z,state_cache_mtime,2026-07-13T05:24:53.855244Z
Rajasthan,Pratapgarh,Rajasthan,Pratapgarh,rajasthan | pratapgarh,fallback_no_tower_evidence,low,0,0,False,True,103,E:\Resources\SecondBrain\koraput_connectivity_pipeline\outputs\requested_districts\rajasthan__pratapgarh,2026-07-13T05:26:25.490432Z,district_file_mtime,2026-07-13T05:22:41.033865Z,state_cache_mtime,2026-07-13T05:26:25.490432Z
Telangana,Adilabad,Telangana,Adilabad,telangana | adilabad,fallback_no_tower_evidence,low,0,0,False,True,103,E:\Resources\SecondBrain\koraput_connectivity_pipeline\outputs\requested_districts\telangana__adilabad,2026-07-13T05:28:02.070932Z,district_file_mtime,2026-07-11T16:07:38.819573Z,state_cache_mtime,2026-07-13T05:28:02.070932Z
Chhattisgarh,Bastar,Chhattisgarh,Bastar,chhattisgarh | bastar,fallback_tower_enriched,medium,0,0,True,True,1160,E:\Resources\SecondBrain\koraput_connectivity_pipeline\outputs\requested_districts\chhattisgarh__bastar,2026-07-13T04:34:37.959692Z,district_file_mtime,2026-07-13T04:30:09.888911Z,state_cache_mtime,2026-07-13T04:34:37.959692Z
