"state","district","matched_state","matched_district","source_mode","confidence_level","row_count","village_count","gps_village_count","opencellid_data_as_of","opencellid_recency_basis","ookla_data_as_of","ookla_recency_basis","data_as_of","relative_map_html","relative_provider_csv"
"Andhra Pradesh","Alluri Sita Ramaraju","Andhra Pradesh","Alluri Sitarama Raju","completed_tower_enriched","high","2329","138","63","2026-07-12T03:28:14.254709Z","district_file_mtime","2026-07-11T16:07:33.401562Z","state_cache_mtime","2026-07-12T03:28:14.254709Z","../requested_districts/andhra_pradesh__alluri_sita_ramaraju/outputs/village_connectivity_map.html","../requested_districts/andhra_pradesh__alluri_sita_ramaraju/outputs/village_provider_signal_estimate.csv"
"Andhra Pradesh","Parvathipuram","Andhra Pradesh","Parvathipuram Manyam","completed_tower_enriched","high","729","67","55","2026-07-12T03:11:24.390715Z","district_file_mtime","2026-07-11T16:07:33.401562Z","state_cache_mtime","2026-07-12T03:11:24.390715Z","../requested_districts/andhra_pradesh__parvathipuram/outputs/village_connectivity_map.html","../requested_districts/andhra_pradesh__parvathipuram/outputs/village_provider_signal_estimate.csv"
"Chhattisgarh","Bastar","Chhattisgarh","Bastar","fallback_tower_enriched","medium","0","310","310","2026-07-13T04:34:37.959692Z","district_file_mtime","2026-07-13T04:30:09.888911Z","state_cache_mtime","2026-07-13T04:34:37.959692Z","../requested_districts/chhattisgarh__bastar/outputs/village_connectivity_map.html","../requested_districts/chhattisgarh__bastar/outputs/village_provider_signal_estimate.csv"
"Chhattisgarh","Dantewada","Chhattisgarh","Dantewada","fallback_tower_enriched","medium","0","92","92","2026-07-13T04:38:40.307066Z","district_file_mtime","2026-07-13T04:30:09.888911Z","state_cache_mtime","2026-07-13T04:38:40.307066Z","../requested_districts/chhattisgarh__dantewada/outputs/village_connectivity_map.html","../requested_districts/chhattisgarh__dantewada/outputs/village_provider_signal_estimate.csv"
"Chhattisgarh","Sukma","Chhattisgarh","Sukma","fallback_tower_enriched","medium","0","118","118","2026-07-13T04:42:21.690733Z","district_file_mtime","2026-07-13T04:30:09.888911Z","state_cache_mtime","2026-07-13T04:42:21.690733Z","../requested_districts/chhattisgarh__sukma/outputs/village_connectivity_map.html","../requested_districts/chhattisgarh__sukma/outputs/village_provider_signal_estimate.csv"
"Gujarat","Navsari","Gujarat","Navsari","fallback_tower_enriched","medium","0","374","374","2026-07-13T04:47:01.493082Z","district_file_mtime","2026-07-12T17:34:31.889827Z","state_cache_mtime","2026-07-13T04:47:01.493082Z","../requested_districts/gujarat__navsari/outputs/village_connectivity_map.html","../requested_districts/gujarat__navsari/outputs/village_provider_signal_estimate.csv"
"Gujarat","The Dangs","Gujarat","The Dangs","fallback_tower_enriched","medium","0","311","311","2026-07-13T12:52:22.307870Z","updated_column_or_mtime","2026-06-24T18:14:28.211520Z","file_mtime","2026-06-24T18:14:28.211520Z","../requested_districts/gujarat__the_dangs/outputs/village_connectivity_map.html","../requested_districts/gujarat__the_dangs/outputs/village_provider_signal_estimate.csv"
"Gujarat","Valsad","Gujarat","Valsad","fallback_tower_enriched","medium","0","474","474","2026-07-13T12:52:22.307870Z","updated_column_or_mtime","2026-06-24T18:14:28.211520Z","file_mtime","2026-06-24T18:14:28.211520Z","../requested_districts/gujarat__valsad/outputs/village_connectivity_map.html","../requested_districts/gujarat__valsad/outputs/village_provider_signal_estimate.csv"
"Jharkhand","Dumka","Jharkhand","Dumka","completed_tower_enriched","high","1772","93","76","2026-07-12T03:17:19.060834Z","district_file_mtime","2026-07-11T16:07:35.997203Z","state_cache_mtime","2026-07-12T03:17:19.060834Z","../requested_districts/jharkhand__dumka/outputs/village_connectivity_map.html","../requested_districts/jharkhand__dumka/outputs/village_provider_signal_estimate.csv"
"Jharkhand","Pakur","Jharkhand","Pakur","completed_tower_enriched","high","2068","85","54","2026-07-12T03:21:17.024892Z","district_file_mtime","2026-07-11T16:07:35.997203Z","state_cache_mtime","2026-07-12T03:21:17.024892Z","../requested_districts/jharkhand__pakur/outputs/village_connectivity_map.html","../requested_districts/jharkhand__pakur/outputs/village_provider_signal_estimate.csv"
