state,district,block,village,lgd_code
Gujarat,Valsad,Valsad,Aagar Faliya,926467
Gujarat,Valsad,Valsad,Abrama,930296
Gujarat,Valsad,Umbergaon,Achchhari,523647
Gujarat,Valsad,Umbergaon,Ahu,523668
Gujarat,Valsad,Pardi,Ambach,523484
Gujarat,Valsad,Kaprada,Amba Jungle,523557
Gujarat,Valsad,Dharampur,Amba Talat,523332
Gujarat,Valsad,Nanapodha,Ambheti,523518
Gujarat,Valsad,Nanapodha,Amdha,523514
Gujarat,Valsad,Pardi,Amli,523453
Gujarat,Valsad,Nanapodha,Andharpada,523567
Gujarat,Valsad,Umbergaon,Angam,523649
Gujarat,Valsad,Valsad,Anjlav,523289
Gujarat,Valsad,Umbergaon,Anklas,523671
Gujarat,Valsad,Nanapodha,Arnai,523513
Gujarat,Valsad,Nanapodha,Arnala,523478
Gujarat,Valsad,Kaprada,Asalkanti,523622
Gujarat,Valsad,Kaprada,Aslona,523599
Gujarat,Valsad,Pardi,Asma,523461
Gujarat,Valsad,Kaprada,Astol,523582
Gujarat,Valsad,Dharampur,Asura,523346
Gujarat,Valsad,Valsad,Atak Pardi,523281
Gujarat,Valsad,Valsad,Atar,523295
Gujarat,Valsad,Valsad,Atgam,523259
Gujarat,Valsad,Valsad,Atul,909101
Gujarat,Valsad,Valsad,Atul (Ct),523318
Gujarat,Valsad,Dharampur,Avalkhandi,523421
Gujarat,Valsad,Dharampur,Avdha,523356
Gujarat,Valsad,Nanapodha,Babarkhadak,523508
Gujarat,Valsad,Pardi,Bagwada,523470
Gujarat,Valsad,Nanapodha,Balchondhi,523521
Gujarat,Valsad,Pardi,Balda,523432
Gujarat,Valsad,Vapi,Balitha (Ct),523502
Gujarat,Valsad,Kaprada,Bamanvel,523602
Gujarat,Valsad,Kaprada,Bamanwada,934487
Gujarat,Valsad,Dharampur,Bamti,523348
Gujarat,Valsad,Pardi,Barai,523481
Gujarat,Valsad,Dharampur,Baroliya,523352
Gujarat,Valsad,Kaprada,Barpuda,523554
Gujarat,Valsad,Dharampur,Barsol,523349
Gujarat,Valsad,Dharampur,Barumal,523354
Gujarat,Valsad,Valsad,Bhadeli Desai Party,523253
Gujarat,Valsad,Valsad,Bhadeli Jagalala,523252
Gujarat,Valsad,Valsad,Bhagal,523240
Gujarat,Valsad,Valsad,Bhagda Khrud,909104
Gujarat,Valsad,Valsad,Bhagdakhurd (Og),523320
Gujarat,Valsad,Valsad,Bhagdawada (Ct),523314
Gujarat,Valsad,Valsad,Bhagod,523297
Gujarat,Valsad,Dharampur,Bhambha,523324
Gujarat,Valsad,Nanapodha,Bhandar Kutch,523545
Gujarat,Valsad,Valsad,Bhanji Falia,523244
Gujarat,Valsad,Dharampur,Bhanval,523406
Gujarat,Valsad,Kaprada,Bhatheri,523629
Gujarat,Valsad,Umbergaon,Bhathi Karambeli,523648
Gujarat,Valsad,Kaprada,Bhavada Jagiri (Forest),523535
Gujarat,Valsad,Dharampur,Bhavada (Talat),523334
Gujarat,Valsad,Dharampur,Bhavthan Ambosi,523360
Gujarat,Valsad,Dharampur,Bhavthan Jungle,523417
Gujarat,Valsad,Dharampur,Bhensdara,523388
Gujarat,Valsad,Umbergaon,Bhilad (Ct),523680
Gujarat,Valsad,Valsad,Bhoma Pardi,523288
Gujarat,Valsad,Kaprada,Bhurval,523624
Gujarat,Valsad,Dharampur,Bhutrun,523429
Gujarat,Valsad,Valsad,Bhutsar,523286
Gujarat,Valsad,Kaprada,Bilaniya,523559
Gujarat,Valsad,Dharampur,Bildha,523366
Gujarat,Valsad,Kaprada,Biliya,523619
Gujarat,Valsad,Dharampur,Bilpudi,523353
Gujarat,Valsad,Valsad,Binwada,523300
Gujarat,Valsad,Valsad,Bodlai,523303
Gujarat,Valsad,Dharampur,Bokaddhara,523361
Gujarat,Valsad,Dharampur,Bopi,523336
Gujarat,Valsad,Umbergaon,Boralai,523654
Gujarat,Valsad,Umbergaon,Borigam,523655
Gujarat,Valsad,Pardi,Borlai,523440
Gujarat,Valsad,Kaprada,Borpada,523530
Gujarat,Valsad,Kaprada,Burla,523569
Gujarat,Valsad,Kaprada,Burvad,523586
Gujarat,Valsad,Vapi,Chala,930311
Gujarat,Valsad,Vapi,Chandor,523490
Gujarat,Valsad,Kaprada,Chandvegan,523539
Gujarat,Valsad,Vapi,Chanod (Ct),523505
Gujarat,Valsad,Valsad,Chanvai,523290
Gujarat,Valsad,Dharampur,Chasmandva,523337
Gujarat,Valsad,Dharampur,Chavra,523402
Gujarat,Valsad,Kaprada,Chavshala,523550
Gujarat,Valsad,Kaprada,Chepa,523601
Gujarat,Valsad,Valsad,Chharvada,523241
Gujarat,Valsad,Vapi,Chharwada,523488
Gujarat,Valsad,Vapi,Chhiri (Ct),523504
Gujarat,Valsad,Vapi,Chibhad Kachchh,523500
Gujarat,Valsad,Dharampur,Chichozar,523379
Gujarat,Valsad,Kaprada,Chichpada,523536
Gujarat,Valsad,Valsad,Chichwada,523291
Gujarat,Valsad,Valsad,Chikhla,523251
Gujarat,Valsad,Valsad,Chinchai,523312
Gujarat,Valsad,Nanapodha,Chival,523477
Gujarat,Valsad,Valsad,Chobadiya,939586
Gujarat,Valsad,Kaprada,Dabhadi,523549
Gujarat,Valsad,Kaprada,Dabkhal,523548
Gujarat,Valsad,Umbergaon,Dahad,523676
Gujarat,Valsad,Nanapodha,Daheli,523476
Gujarat,Valsad,Umbergaon,Daheli (Ct),523681
Gujarat,Valsad,Kaprada,Dahikhed,523585
Gujarat,Valsad,Valsad,Dandi,523239
Gujarat,Valsad,Dharampur,Dandval,523409
Gujarat,Valsad,Pardi,Dashwada,523452
Gujarat,Valsad,Vapi,Degam,523497
Gujarat,Valsad,Umbergaon,Dehari (Ct),523683
Gujarat,Valsad,Nanapodha,Dhagadmal,523475
Gujarat,Valsad,Dharampur,Dhakval,523425
Gujarat,Valsad,Kaprada,Dhaman Vegan,523578
Gujarat,Valsad,Valsad,Dhamdachi,523278
Gujarat,Valsad,Dharampur,Dhamni,523411
Gujarat,Valsad,Umbergaon,Dhanoli,523657
Gujarat,Valsad,Valsad,Dhanori,523247
Gujarat,Valsad,Kaprada,Dharanmal,523627
Gujarat,Valsad,Dharampur,Dharanpur,930309
Gujarat,Valsad,Valsad,Dharasna,523238
Gujarat,Valsad,Umbergaon,Dhimsa Kankariya,523672
Gujarat,Valsad,Nanapodha,Dhodhad Kuva,523516
Gujarat,Valsad,Kaprada,Dighi,523634
Gujarat,Valsad,Valsad,Dived,523292
Gujarat,Valsad,Kaprada,Divsi,523558
Gujarat,Valsad,Kaprada,Dixal,523572
Gujarat,Valsad,Valsad,Dulsad,523285
Gujarat,Valsad,Pardi,Dumalav,523482
Gujarat,Valsad,Vapi,Dungara,930312
Gujarat,Valsad,Pardi,Dungri,523451
Gujarat,Valsad,Valsad,Dungri,523237
Gujarat,Valsad,Umbergaon,Eklahre,523644
Gujarat,Valsad,Kaprada,Eklera,523590
Gujarat,Valsad,Valsad,Endergota,523248
Gujarat,Valsad,Valsad,Faldhara,523309
Gujarat,Valsad,Kaprada,Fali,523573
Gujarat,Valsad,Valsad,Fanaswada,523258
Gujarat,Valsad,Umbergaon,Fansa,523636
Gujarat,Valsad,Kaprada,Fatepur,523605
Gujarat,Valsad,Dharampur,Fulwadi,523387
Gujarat,Valsad,Valsad,Gadaria,523283
Gujarat,Valsad,Dharampur,Gadi,523369
Gujarat,Valsad,Dharampur,Ganva,523362
Gujarat,Valsad,Valsad,Ghadoi,523277
Gujarat,Valsad,Kaprada,Ghadvi,523626
Gujarat,Valsad,Kaprada,Ghanveri,523623
Gujarat,Valsad,Kaprada,Ghotan,523556
Gujarat,Valsad,Kaprada,Ghotval,523621
Gujarat,Valsad,Kaprada,Girnara,523576
Gujarat,Valsad,Pardi,Goima,523480
Gujarat,Valsad,Dharampur,Gorakhada,523358
Gujarat,Valsad,Valsad,Gorgam,523234
Gujarat,Valsad,Valsad,Gorwada,523266
Gujarat,Valsad,Umbergaon,Govada,523675
Gujarat,Valsad,Dharampur,Gundiya,523403
Gujarat,Valsad,Valsad,Gundlav,523265
Gujarat,Valsad,Dharampur,Hanmatmal,523343
Gujarat,Valsad,Valsad,Hariya,523299
Gujarat,Valsad,Dharampur,Hathanbari,523342
Gujarat,Valsad,Kaprada,Hedalbari,523568
Gujarat,Valsad,Dharampur,Hedri,523407
Gujarat,Valsad,Kaprada,Huda,523555
Gujarat,Valsad,Umbergaon,Humran,523677
Gujarat,Valsad,Dharampur,Jagiri,523338
Gujarat,Valsad,Dharampur,Jamaliya,523371
Gujarat,Valsad,Umbergaon,Jamburi,523640
Gujarat,Valsad,Kaprada,Jam Gabhan,523564
Gujarat,Valsad,Valsad,Jespor,523230
Gujarat,Valsad,Nanapodha,Jirval,523565
Gujarat,Valsad,Nanapodha,Jogvel,523523
Gujarat,Valsad,Valsad,Jujwa,523276
Gujarat,Valsad,Valsad,Kachigam,523307
Gujarat,Valsad,Umbergaon,Kachigam,523656
Gujarat,Valsad,Pardi,Kachwal,523436
Gujarat,Valsad,Nanapodha,Kajli,523541
Gujarat,Valsad,Nanapodha,Kakadkopar,523519
Gujarat,Valsad,Dharampur,Kakadkuva,523381
Gujarat,Valsad,Valsad,Kakadmati,523308
Gujarat,Valsad,Valsad,Kakwadi Danti,523228
Gujarat,Valsad,Umbergaon,Kalai,523637
Gujarat,Valsad,Umbergaon,Kalgam,523642
Gujarat,Valsad,Pardi,Kalsar,523446
Gujarat,Valsad,Valsad,Kalwada,523269
Gujarat,Valsad,Dharampur,Kangvi,523345
Gujarat,Valsad,Valsad,Kanjan Hari,523275
Gujarat,Valsad,Valsad,Kanjan Ranchhod,523273
Gujarat,Valsad,Valsad,Kaparia,523284
Gujarat,Valsad,Kaprada,Kaprada,523547
Gujarat,Valsad,Umbergaon,Karambele,523678
Gujarat,Valsad,Vapi,Karamkhal,523499
Gujarat,Valsad,Dharampur,Karanjveri,523331
Gujarat,Valsad,Vapi,Karaya,523495
Gujarat,Valsad,Kaprada,Karchond,523604
Gujarat,Valsad,Kaprada,Karjun,523579
Gujarat,Valsad,Vapi,Karvad (Ct),523506
Gujarat,Valsad,Kaprada,Kasatveri,523552
Gujarat,Valsad,Dharampur,Kasba Dharampur,934486
Gujarat,Valsad,Kaprada,Kastoniya,523587
Gujarat,Valsad,Vapi,Kaval,523494
Gujarat,Valsad,Kaprada,Keldha,523533
Gujarat,Valsad,Dharampur,Kelvani,523389
Gujarat,Valsad,Kaprada,Ketki,523588
Gujarat,Valsad,Valsad,Kewada,523262
Gujarat,Valsad,Kaprada,Khadakval,523560
Gujarat,Valsad,Dharampur,Khadki,523401
Gujarat,Valsad,Pardi,Khadki,523443
Gujarat,Valsad,Valsad,Khajurdi,523256
Gujarat,Valsad,Dharampur,Khamdahad,523335
Gujarat,Valsad,Dharampur,Khanda,523333
Gujarat,Valsad,Dharampur,Khapatiya,523420
Gujarat,Valsad,Nanapodha,Kharedi,523510
Gujarat,Valsad,Dharampur,Kharvel,523350
Gujarat,Valsad,Dharampur,Khatana,523330
Gujarat,Valsad,Umbergaon,Khattalwada,523667
Gujarat,Valsad,Kaprada,Khatuniya,523583
Gujarat,Valsad,Pardi,Kherlav,523485
Gujarat,Valsad,Dharampur,Khoba,523430
Gujarat,Valsad,Pardi,Khuntej,523463
Gujarat,Valsad,Nanapodha,Khuntli,523524
Gujarat,Valsad,Pardi,Kikarla,523449
Gujarat,Valsad,Vapi,Kocharva,523491
Gujarat,Valsad,Valsad,Kochwada,523268
Gujarat,Valsad,Pardi,Kolak,523448
Gujarat,Valsad,Kaprada,Kolvera,523593
Gujarat,Valsad,Vapi,Koparli,523493
Gujarat,Valsad,Valsad,Kosamba,909102
Gujarat,Valsad,Valsad,Kosamba (Og),523321
Gujarat,Valsad,Valsad,Kosamkuwa,523310
Gujarat,Valsad,Dharampur,Kosimpada,523372
Gujarat,Valsad,Kaprada,Kotalgam,523575
Gujarat,Valsad,Nanapodha,Kothar,523542
Gujarat,Valsad,Pardi,Kumbhariya,523433
Gujarat,Valsad,Kaprada,Kumbhset,523630
Gujarat,Valsad,Nanapodha,Kunda,523526
Gujarat,Valsad,Valsad,Kundi,523249
Gujarat,Valsad,Vapi,Kunta,523468
Gujarat,Valsad,Dharampur,Kurgam,523384
Gujarat,Valsad,Dharampur,Lakadmal,523385
Gujarat,Valsad,Nanapodha,Lakhmapor,523458
Gujarat,Valsad,Vapi,Lavachha (Ct),523507
Gujarat,Valsad,Kaprada,Lavkar,523571
Gujarat,Valsad,Kaprada,Likhavad,523618
Gujarat,Valsad,Valsad,Lilapore,523254
Gujarat,Valsad,Dharampur,Luheri,523344
Gujarat,Valsad,Kaprada,Madhuban,523608
Gujarat,Valsad,Dharampur,Madhuri,523400
Gujarat,Valsad,Valsad,Magod,523293
Gujarat,Valsad,Valsad,Magod Dungri,523294
Gujarat,Valsad,Dharampur,Makadban,523410
Gujarat,Valsad,Umbergaon,Malav,523665
Gujarat,Valsad,Kaprada,Malghar,523620
Gujarat,Valsad,Kaprada,Malungi,523631
Gujarat,Valsad,Valsad,Malvan,523227
Gujarat,Valsad,Dharampur,Mama Bhacha,523364
Gujarat,Valsad,Umbergaon,Mamakwada,523658
Gujarat,Valsad,Dharampur,Manaichondi,523363
Gujarat,Valsad,Kaprada,Manala,523562
Gujarat,Valsad,Umbergaon,Manda,523653
Gujarat,Valsad,Nanapodha,Mandva,523546
Gujarat,Valsad,Umbergaon,Manekpur,523660
Gujarat,Valsad,Kaprada,Mani,523529
Gujarat,Valsad,Dharampur,Maragmal,523325
Gujarat,Valsad,Valsad,Marala,523271
Gujarat,Valsad,Umbergaon,Maroli,523650
Gujarat,Valsad,Kaprada,Matuniya,523538
Gujarat,Valsad,Kaprada,Meghval,523607
Gujarat,Valsad,Valsad,Meh,523296
Gujarat,Valsad,Kaprada,Mendha,523528
Gujarat,Valsad,Valsad,Mograwadi,930299
Gujarat,Valsad,Umbergaon,Mohan,523639
Gujarat,Valsad,Dharampur,Mohna Kavchali,523426
Gujarat,Valsad,Dharampur,Mohpada,523428
Gujarat,Valsad,Dharampur,Molveri,523365
Gujarat,Valsad,Vapi,Morai,523469
Gujarat,Valsad,Dharampur,Mordahad,523367
Gujarat,Valsad,Nanapodha,Mota Pondha,523543
Gujarat,Valsad,Pardi,Mota Waghchhipa,523437
Gujarat,Valsad,Dharampur,Moti Dhol Dungari,523329
Gujarat,Valsad,Dharampur,Moti Korval,523423
Gujarat,Valsad,Dharampur,Moti Kosbadi,523405
Gujarat,Valsad,Kaprada,Moti Palsan,523615
Gujarat,Valsad,Vapi,Moti Tambadi,523498
Gujarat,Valsad,Nanapodha,Moti Vahiyal,523511
Gujarat,Valsad,Pardi,Motiwada,523444
Gujarat,Valsad,Valsad,Muli,523261
Gujarat,Valsad,Dharampur,Murdad,523399
Gujarat,Valsad,Dharampur,Nadagdhari,523340
Gujarat,Valsad,Kaprada,Nagar,523610
Gujarat,Valsad,Umbergaon,Nagwas,523662
Gujarat,Valsad,Umbergaon,Nahuli,523645
Gujarat,Valsad,Nanapodha,Nali Madhani,523512
Gujarat,Valsad,Vapi,Namdha,523489
Gujarat,Valsad,Valsad,Nanakwada,909105
Gujarat,Valsad,Valsad,Nanakwada (Ct),523315
Gujarat,Valsad,Nanapodha,Nana Pondha,523522
Gujarat,Valsad,Pardi,Nana Waghchhipa,523438
Gujarat,Valsad,Valsad,Nandawala,523263
Gujarat,Valsad,Kaprada,Nandgam,523537
Gujarat,Valsad,Umbergaon,Nandigam,523664
Gujarat,Valsad,Dharampur,Nani Dhol Dungari,523328
Gujarat,Valsad,Dharampur,Nani Korval,523424
Gujarat,Valsad,Dharampur,Nani Kosbadi,523416
Gujarat,Valsad,Kaprada,Nani Palsan,523617
Gujarat,Valsad,Vapi,Nani Tambadi,523496
Gujarat,Valsad,Dharampur,Nani Vahiyal,523386
Gujarat,Valsad,Umbergaon,Nargol,523669
Gujarat,Valsad,Kaprada,Narvad,523577
Gujarat,Valsad,Valsad,Navera,523302
Gujarat,Valsad,Nanapodha,Nevri,523459
Gujarat,Valsad,Kaprada,Niloshi,523580
Gujarat,Valsad,Pardi,Nimkhal,523456
Gujarat,Valsad,Kaprada,Nirval,523633
Gujarat,Valsad,Valsad,Olgam,523231
Gujarat,Valsad,Pardi,Orvad (Ct),523501
