village_id,provider,state,district,block,village,lgd_code,latitude,longitude,coordinate_source,tower_count,nearest_tower_km,strongest_signal_dbm,village_ookla_download_mbps,village_ookla_upload_mbps,village_ookla_tests,village_ookla_distance_km,provider_ookla_download_mbps,provider_ookla_upload_mbps,provider_ookla_tests,coverage_score,assessment_note
40,Airtel,Odisha,Koraput,Koraput,Amalabadi,429991,18.76812054271863,82.93884457234762,lgd_master,24.0,1.2953796718844859,,10.476,0.706,1.0,0.40416576678571525,,,,Strong,nearest tower 1.30 km; 24 tower(s) within radius; village Ookla 10.5 Mbps; nearest Ookla tile 0.40 km
40,BSNL,Odisha,Koraput,Koraput,Amalabadi,429991,18.76812054271863,82.93884457234762,lgd_master,52.0,1.2953796718844859,,10.476,0.706,1.0,0.40416576678571525,,,,Strong,nearest tower 1.30 km; 52 tower(s) within radius; village Ookla 10.5 Mbps; nearest Ookla tile 0.40 km
40,Jio,Odisha,Koraput,Koraput,Amalabadi,429991,18.76812054271863,82.93884457234762,lgd_master,42.0,1.9979879444567616,,10.476,0.706,1.0,0.40416576678571525,,,,Strong,nearest tower 2.00 km; 42 tower(s) within radius; village Ookla 10.5 Mbps; nearest Ookla tile 0.40 km
40,Vodafone Idea,Odisha,Koraput,Koraput,Amalabadi,429991,18.76812054271863,82.93884457234762,lgd_master,4.0,1.9979879444567616,,10.476,0.706,1.0,0.40416576678571525,,,,Strong,nearest tower 2.00 km; 4 tower(s) within radius; village Ookla 10.5 Mbps; nearest Ookla tile 0.40 km
41,Airtel,Odisha,Koraput,Koraput,Ambagaon,429982,18.78536043106943,82.92815772117423,lgd_master,26.0,1.905604179305982,,206.586,3.146,1.0,1.3683890623110797,,,,Strong,nearest tower 1.91 km; 26 tower(s) within radius; village Ookla 206.6 Mbps; nearest Ookla tile 1.37 km
41,BSNL,Odisha,Koraput,Koraput,Ambagaon,429982,18.78536043106943,82.92815772117423,lgd_master,52.0,1.905604179305982,,206.586,3.146,1.0,1.3683890623110797,,,,Strong,nearest tower 1.91 km; 52 tower(s) within radius; village Ookla 206.6 Mbps; nearest Ookla tile 1.37 km
41,Jio,Odisha,Koraput,Koraput,Ambagaon,429982,18.78536043106943,82.92815772117423,lgd_master,42.0,1.905604179305982,,206.586,3.146,1.0,1.3683890623110797,,,,Strong,nearest tower 1.91 km; 42 tower(s) within radius; village Ookla 206.6 Mbps; nearest Ookla tile 1.37 km
41,Vodafone Idea,Odisha,Koraput,Koraput,Ambagaon,429982,18.78536043106943,82.92815772117423,lgd_master,4.0,1.905604179305982,,206.586,3.146,1.0,1.3683890623110797,,,,Strong,nearest tower 1.91 km; 4 tower(s) within radius; village Ookla 206.6 Mbps; nearest Ookla tile 1.37 km
42,Airtel,Odisha,Koraput,Koraput,Ariputraghati,429983,18.78974516741233,82.94933205731252,lgd_master,23.0,1.5980811306040412,,113.212,12.785,4.0,2.047368315881313,,,,Strong,nearest tower 1.60 km; 23 tower(s) within radius; village Ookla 113.2 Mbps; nearest Ookla tile 2.05 km
42,BSNL,Odisha,Koraput,Koraput,Ariputraghati,429983,18.78974516741233,82.94933205731252,lgd_master,51.0,3.7872692902860803,,113.212,12.785,4.0,2.047368315881313,,,,Moderate,nearest tower 3.79 km; 51 tower(s) within radius; village Ookla 113.2 Mbps; nearest Ookla tile 2.05 km
